Korteriomandite (eluruumide) tehingud,,,,,,,,,,,,
"Harju maakond, Anija vald / Harju maakond, Harku vald / Harju maakond, Jõelähtme vald / Harju maakond, Keila linn / Harju maakond, Kiili vald / Harju maakond, Kose vald / Harju maakond, Kuusalu vald / Harju maakond, Loksa linn / Harju maakond, Lääne-Harju vald / Harju maakond, Maardu linn / Harju maakond, Raasiku vald / Harju maakond, Rae vald / Harju maakond, Saku vald / Harju maakond, Saue vald / Harju maakond, Tallinn linn / Harju maakond, Viimsi vald / Harju maakond, Haabersti linnaosa / Harju maakond, Kesklinna linnaosa / Harju maakond, Kristiine linnaosa / Harju maakond, Lasnamäe linnaosa / Harju maakond, Mustamäe linnaosa / Harju maakond, Nõmme linnaosa / Harju maakond, Pirita linnaosa / Harju maakond, Põhja-Tallinna linnaosa 2024 aastal",,,,,,,,,,,,
10.05.2025,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Pindala(m2),Tehingu summa (eur),,,Pinnaühiku hind(eur /m2),,,,
,,Pindala(m2),Arv,Keskmine,Kokku,Minimaalne,Maksimaalne,Minimaalne,Maksimaalne,Mediaan,Keskmine,Standardhälve
,,KOKKU,16,73.10,"2,813,012","64,000","376,000",824.74,"4,018.13","2,538.78","2,492.55",680.78
,,KÕIK KOKKU,"1,267",55.00,"200,417,501","5,000","891,000",38.05,"8,219.34","2,673.27","2,811.51","1,099.10"
2024 veebruar,Anija vald,"30-40,99",2,***,***,***,***,***,***,***,***,***
,,"55-69,99",1,***,***,***,***,***,***,***,***,***
,,KOKKU,3,***,***,***,***,***,***,***,***,***
,Haabersti linnaosa,"10-29,99",2,***,***,***,***,***,***,***,***,***
,,"30-40,99",9,***,***,***,***,***,***,***,***,***
,,"41-54,99",18,49.30,"2,944,609","97,000","240,000","1,840.61","5,369.13","3,607.18","3,373.32","1,051.39"
,,"55-69,99",23,63.10,"4,026,960","120,000","264,000","1,840.49","4,310.05","2,962.96","2,798.50",785.40
,,"70-249,99",13,88.50,"3,805,048","155,000","507,440","2,186.18","4,403.41","3,155.82","3,282.72",731.91
,,KOKKU,65,59.10,"11,820,257","30,000","507,440","1,840.49","5,369.13","3,083.48","3,077.74",890.04
,Harku vald,"30-40,99",2,***,***,***,***,***,***,***,***,***
,,"41-54,99",2,***,***,***,***,***,***,***,***,***
,,"55-69,99",1,***,***,***,***,***,***,***,***,***
,,"70-249,99",10,98.50,"2,846,770","220,000","350,000","2,058.00","3,971.76","3,119.79","2,972.34",631.89
,,KOKKU,15,80.10,"3,399,270","63,000","350,000","1,514.42","3,971.76","2,971.31","2,807.28",656.84
,Jõelähtme vald,"30-40,99",3,***,***,***,***,***,***,***,***,***
,,"55-69,99",3,***,***,***,***,***,***,***,***,***
,,KOKKU,6,50.20,"972,490","125,900","196,000","2,980.86","3,769.46","3,282.85","3,299.05",310.93
,Keila linn,"30-40,99",2,***,***,***,***,***,***,***,***,***
,,"41-54,99",4,***,***,***,***,***,***,***,***,***
,,"55-69,99",4,***,***,***,***,***,***,***,***,***
,,"70-249,99",3,***,***,***,***,***,***,***,***,***
,,KOKKU,13,59.00,"1,808,900","30,000","305,000",428.57,"3,706.47","2,038.57","2,325.24","1,003.58"
,Kesklinna linnaosa,"10-29,99",5,22.80,"431,390","73,000","111,000","2,588.65","5,606.06","3,545.45","3,929.19","1,184.26"
,,"30-40,99",21,36.50,"2,443,441","40,259","188,100","1,115.21","5,358.97","3,419.12","3,195.30","1,087.62"
,,"41-54,99",26,46.60,"4,563,341","52,500","264,900","1,093.75","6,109.30","3,763.77","3,785.16","1,164.96"
,,"55-69,99",24,63.80,"5,951,752","155,000","394,050","2,534.25","5,702.67","3,556.22","3,881.68","1,029.27"
,,"70-249,99",44,101.60,"13,836,538","132,000","630,000","1,156.69","6,397.44","3,210.53","3,231.39","1,071.97"
,,KOKKU,120,67.40,"27,226,462","40,259","630,000","1,093.75","6,397.44","3,424.14","3,504.19","1,117.58"
,Kiili vald,"30-40,99",1,***,***,***,***,***,***,***,***,***
,,"41-54,99",3,***,***,***,***,***,***,***,***,***
,,"55-69,99",3,***,***,***,***,***,***,***,***,***
,,"70-249,99",6,107.40,"1,755,173","264,690","337,600","2,444.04","2,964.32","2,799.93","2,725.62",216.58
,,KOKKU,13,78.00,"2,775,473","78,000","337,600","1,232.67","3,554.64","2,820.38","2,737.10",667.86
,Kose vald,"30-40,99",1,***,***,***,***,***,***,***,***,***
,,"55-69,99",2,***,***,***,***,***,***,***,***,***
,,"70-249,99",2,***,***,***,***,***,***,***,***,***
,,KOKKU,5,71.50,"605,500","6,000","230,000",173.91,"2,315.62","1,844.20","1,427.96",956.77
,Kristiine linnaosa,"10-29,99",2,***,***,***,***,***,***,***,***,***
,,"30-40,99",8,36.30,"899,290","78,900","205,400","2,387.64","5,213.20","2,665.93","3,061.36",948.25
,,"41-54,99",16,49.00,"2,514,760","75,000","270,000","1,666.67","5,283.76","3,106.10","3,172.58","1,074.39"
,,"55-69,99",12,63.30,"2,561,206","140,000","344,461","2,153.85","4,927.91","3,359.14","3,362.60","1,083.60"
,,"70-249,99",5,***,***,***,***,***,***,***,***,***
,,KOKKU,43,54.00,"8,011,098","62,000","440,852","1,666.67","5,283.76","3,193.61","3,347.45","1,034.15"
,Kuusalu vald,"41-54,99",1,***,***,***,***,***,***,***,***,***
,,"55-69,99",1,***,***,***,***,***,***,***,***,***
,,"70-249,99",1,***,***,***,***,***,***,***,***,***
,,KOKKU,3,***,***,***,***,***,***,***,***,***
,Lasnamäe linnaosa,"10-29,99",5,21.10,"349,500","42,000","130,000","2,393.62","4,513.89","3,125.00","3,266.08",814.72
,,"30-40,99",46,34.20,"4,073,176","44,000","130,000","1,232.49","3,430.08","2,522.92","2,590.31",438.73
